Strategic.Area,InterZone,SAChangeScore,Indicator
Kirkcaldy,S02001783,0.5056121055438744,Out of Work Benefits
Kirkcaldy,S02001784,-0.3372108961483211,Out of Work Benefits
Kirkcaldy,S02001785,0.05875536084736344,Out of Work Benefits
Kirkcaldy,S02001786,-0.4777152105073101,Out of Work Benefits
Kirkcaldy,S02001787,-3.2972341351548415,Out of Work Benefits
Kirkcaldy,S02001788,-0.06468076351923266,Out of Work Benefits
Kirkcaldy,S02001789,0.2544014625502656,Out of Work Benefits
Kirkcaldy,S02001790,0.6976059320676555,Out of Work Benefits
Kirkcaldy,S02001791,-0.6696321954994423,Out of Work Benefits
Kirkcaldy,S02001792,0.6085529845574009,Out of Work Benefits
Kirkcaldy,S02001793,1.0391474608189175,Out of Work Benefits
Kirkcaldy,S02001794,0.07950747617715011,Out of Work Benefits
Kirkcaldy,S02001795,0.43770366097410973,Out of Work Benefits
Kirkcaldy,S02001796,0.31626769238548297,Out of Work Benefits
Kirkcaldy,S02001780,0.29094930249546036,Positive Destinations
Kirkcaldy,S02001781,0.9065549211001113,Positive Destinations
Kirkcaldy,S02001782,0.7979530158719405,Positive Destinations
Kirkcaldy,S02001783,-0.15661045508552762,Positive Destinations
Kirkcaldy,S02001784,-1.8578935135183712,Positive Destinations
Kirkcaldy,S02001785,-0.5829160088075079,Positive Destinations
Kirkcaldy,S02001786,-0.3682013365988304,Positive Destinations
Kirkcaldy,S02001787,-1.290713772712858,Positive Destinations
Kirkcaldy,S02001788,0.30700991381236226,Positive Destinations
Kirkcaldy,S02001789,-0.7677267709908246,Positive Destinations
Kirkcaldy,S02001790,-0.12027430693204369,Positive Destinations
Kirkcaldy,S02001791,-0.6270071500524987,Positive Destinations
Kirkcaldy,S02001792,-0.5620574963411641,Positive Destinations
Kirkcaldy,S02001793,-0.45722171608458595,Positive Destinations
Kirkcaldy,S02001794,1.318374218383851,Positive Destinations
Kirkcaldy,S02001795,2.065039840707776,Positive Destinations
Kirkcaldy,S02001796,1.104741314752711,Positive Destinations
