year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Positive Destinations,Emergency Admissions,Depopulation,Early Mortality
2015,East Ayrshire,0.243560926,0.265038676,,0.258830189,,0.221305327,-0.104407766,0.182583357
2015,East Dunbartonshire,0.312464245,0.317244724,,0.309290945,,0.26944849,0.059058095,0.253928489
2015,East Lothian,0.214161216,0.224774925,,0.228672192,,0.200596991,-0.012239792,0.166822749
2015,East Renfrewshire,0.390718257,0.399596146,,0.409012713,,0.354646386,0.049556157,0.356852983
2015,"Edinburgh, City of",0.386292381,0.436012368,,0.44750741,,0.375585424,0.051264595,0.403035043
2015,Eilean Siar,0.042268168,0.081699115,,0.03229536,,0.007779495,-0.03567417,-0.023262108
2015,Falkirk,0.242428698,0.27874285,,0.249144525,,0.203417847,-0.09628467,0.211425523
2015,Fife,0.335289802,0.361686385,,0.326901535,,0.268735542,-0.113328588,0.263856554
2015,Glasgow City,0.226382119,0.205414778,,0.281327108,,0.194579354,-0.097447297,0.198404086
2015,Highland,0.210850587,0.245146966,,0.255834186,,0.217003213,-0.09943008,0.168962012
2015,Inverclyde,0.319769218,0.35564433,,0.352932439,,0.255589935,-0.211690304,0.288631423
2015,Midlothian,0.228481239,0.250883764,,0.258717175,,0.196557677,-0.117323236,0.185387003
2015,Moray,0.138805076,0.163156898,,0.116672852,,0.085162498,-0.029884437,0.068766017
2015,North Ayrshire,0.285169519,0.30682017,,0.278925751,,0.175286977,-0.093796058,0.273925089
2015,North Lanarkshire,0.186408326,0.220281894,,0.205160962,,0.161784626,-0.040837805,0.146506697
2015,Orkney Islands,0.113511831,0.095671968,,0.003996284,,0.048191209,-0.160893235,0.050559037
2015,Perth and Kinross,0.241501301,0.272575536,,0.271130608,,0.229105513,-0.020944574,0.214963775
2015,Renfrewshire,0.289745433,0.34662705,,0.32209717,,0.299338014,-0.013238541,0.251928981
2015,Scottish Borders,0.225918246,0.212995419,,0.236238904,,0.139388673,-0.162539232,0.160336834
2015,Shetland Islands,0.089035725,0.098720662,,0.005012586,,0.043197723,-0.076699791,0.095802041
2015,South Ayrshire,0.261681419,0.326231126,,0.29162601,,0.180274717,-0.007882716,0.239574798
2015,South Lanarkshire,0.223621286,0.261573954,,0.257773035,,0.1543693,-0.078422525,0.17533902
2015,Stirling,0.291006916,0.344101067,,0.351857645,,0.280662768,-0.092172643,3.07E-01
2015,West Dunbartonshire,0.167967346,0.214216568,,0.200294593,,0.118294458,-0.030544441,0.176923797
2015,West Lothian,0.235589283,0.258761828,,0.241748224,,0.206878385,-0.02649315,0.180205533
2016,Aberdeen City,0.311740144,0.35727837,,0.333278171,,0.316890893,0.006575684,0.292810223
2016,Aberdeenshire,0.271722083,0.320927968,,0.300045342,,0.232532697,-0.180428732,0.278910217
2016,Angus,0.241551156,0.275104951,,0.248176794,,0.163732482,-0.023285274,0.266782508
2016,Argyll and Bute,0.197093898,0.111208017,,0.146714267,,0.154322602,-0.056762646,0.196701636
2016,Clackmannanshire,0.233877437,0.244131662,,0.223709359,,0.082933247,-0.091233224,0.203247967
2016,Dumfries and Galloway,0.176704953,0.217949318,,0.197413765,,0.100329133,-0.05579985,0.160537505
2016,Dundee City,0.292413521,0.301298726,,0.321740499,,0.273210618,-0.05432642,0.252279489
2016,East Ayrshire,0.235755919,0.270538529,,0.264532975,,0.221346731,-0.107503808,0.219312333
2016,East Dunbartonshire,0.298886623,0.350777666,,0.318704568,,0.324814056,0.048340996,0.280291571
2016,East Lothian,0.213112732,0.227843924,,0.232366472,,0.208871633,-0.004751909,0.178639988
2016,East Renfrewshire,0.375420797,0.415468851,,0.401607764,,0.339726554,-0.001276256,0.390229938
2016,"Edinburgh, City of",0.362217609,0.442295907,,0.440567113,,0.363442785,0.054717876,0.430714046
2016,Eilean Siar,0.021493139,0.053871686,,0.025104845,,0.024706443,-0.03567417,-0.007182399
2016,Falkirk,0.226870807,0.277372209,,0.251836365,,0.190034094,-0.090927828,0.233131649
2016,Fife,0.323265666,0.359880835,,0.325152369,,0.289264029,-0.106224251,0.313991449
2016,Glasgow City,0.227234615,0.217524507,,0.28675055,,0.204848301,-0.087803859,0.237051265
2016,Highland,0.207721559,0.221801697,,0.259792887,,0.209831485,-0.099748875,0.207500456
2016,Inverclyde,0.321734484,0.347972886,,0.330839424,,0.26478664,-0.211690304,0.323173038
2016,Midlothian,0.209154372,0.273454331,,0.264805164,,0.18453759,-0.123943684,0.218891113
2016,Moray,0.125816878,0.158689521,,0.118427884,,0.083270883,-0.028480517,0.09004234
2016,North Ayrshire,0.285427679,0.308770314,,0.290717295,,0.247888192,-0.081480369,0.274316257
2016,North Lanarkshire,0.177177689,0.217789683,,0.206145412,,0.174795173,-0.042629698,0.184050235
2016,Orkney Islands,0.113511831,0.069745626,,0.065791193,,0.066140294,-0.160893235,0.085962137
2016,Perth and Kinross,0.240004117,0.284176422,,0.274243856,,0.240383215,-0.026970728,0.246283291
2016,Renfrewshire,0.286598508,0.356660856,,0.32455339,,0.306761504,-0.009332646,0.28138133
2016,Scottish Borders,0.22856381,0.23360905,,0.234667299,,0.160862708,-0.168784736,0.177497207
2016,Shetland Islands,0.089035725,0.115811585,,-0.060939034,,0.045565882,-0.068162455,0.078391284
2016,South Ayrshire,0.2630995,0.320314068,,0.259534006,,0.197092872,0.015773518,0.264556979
2016,South Lanarkshire,0.215571071,0.264504542,,0.254415423,,0.137505852,-0.078983213,0.222931999
2016,Stirling,0.283106553,0.350507986,,0.343111932,,0.304807254,-0.079969911,0.317501685
2016,West Dunbartonshire,0.163048658,0.215684582,,0.201889396,,0.176205774,-0.02841914,0.202265751
2016,West Lothian,0.236034464,0.267998518,,0.248482132,,0.218504604,-0.032054631,0.200173543
2017,Aberdeen City,0.307313579,0.364392113,,0.346474214,,0.327238567,-0.024300794,0.296793543
2017,Aberdeenshire,0.273566758,0.319071963,,0.287420884,,0.24244202,-0.183655459,0.292336041
2017,Angus,0.261503283,0.282196815,,0.259600523,,0.226844038,-0.03471402,0.269643125
2017,Argyll and Bute,0.191457217,0.157682103,,0.174529983,,0.167718047,-0.056600746,0.196538392
2017,Clackmannanshire,0.232750702,0.236905893,,0.230504857,,0.131347682,-0.091233224,0.198884671
2017,Dumfries and Galloway,0.183116544,0.220247803,,0.189693314,,0.133413601,-0.060683458,0.184256666
2017,Dundee City,0.289227405,0.300607973,,0.329290728,,0.222972801,-0.05896353,0.26564305
2017,East Ayrshire,0.246948739,0.280858923,,0.26960834,,0.20883876,-0.109373208,0.223100923
2017,East Dunbartonshire,0.281794776,0.337398996,,0.331696178,,0.33979646,0.040563249,0.293639935
2017,East Lothian,0.217698519,0.23175829,,0.222352417,,0.216900596,-0.005178249,0.193882068
2017,East Renfrewshire,0.378695267,0.416619747,,0.37228998,,0.286516119,-0.04095859,0.394110506
2017,"Edinburgh, City of",0.373720931,0.453900696,,0.436212639,,0.379178177,0.052361675,0.43326594
2017,Eilean Siar,0.020568509,0.101367343,,0.002463021,,-0.015216674,-0.03567417,0.024725283
2017,Falkirk,0.21846455,0.282018485,,0.255988068,,0.200013231,-0.092557309,0.228740697
2017,Fife,0.330454246,0.360259659,,0.311336233,,0.264388809,-0.101464656,0.325197896
2017,Glasgow City,0.233431885,0.242940645,,0.270646204,,0.230011018,-0.081936494,0.249548601
2017,Highland,0.214924156,0.243474824,,0.255424461,,0.209079137,-0.104540306,0.221789375
