"CPP","Year","Indicator","Type","value"
"Renfrewshire","2017/18","Healthy Birthweight","Raw",85.9689476710753
"West Dunbartonshire","2017/18","Healthy Birthweight","Raw",88.5357548240636
"West Lothian","2017/18","Healthy Birthweight","Raw",87.9168944778568
"Angus","2017/18","Healthy Birthweight","Raw",89.1170431211499
"Dundee City","2017/18","Healthy Birthweight","Raw",89.3511988716502
"East Dunbartonshire","2017/18","Healthy Birthweight","Raw",87.0967741935484
"Fife","2017/18","Healthy Birthweight","Raw",89.5758661887694
"Perth and Kinross","2017/18","Healthy Birthweight","Raw",89.4189071986123
"Glasgow City","2017/18","Healthy Birthweight","Raw",87.0390539909756
"North Lanarkshire","2017/18","Healthy Birthweight","Raw",89.6511627906977
"Clackmannanshire","2018/19","Healthy Birthweight","Raw",91.8465227817746
"Dumfries and Galloway","2018/19","Healthy Birthweight","Raw",91.6890080428954
"East Ayrshire","2018/19","Healthy Birthweight","Raw",90.3460837887067
"East Lothian","2018/19","Healthy Birthweight","Raw",89.5287958115183
"East Renfrewshire","2018/19","Healthy Birthweight","Raw",89.5933014354067
"Eilean Siar","2018/19","Healthy Birthweight","Raw",88.9447236180904
"Falkirk","2018/19","Healthy Birthweight","Raw",91.2139503688799
"Highland","2018/19","Healthy Birthweight","Raw",88.6942675159236
"Inverclyde","2018/19","Healthy Birthweight","Raw",90
"Midlothian","2018/19","Healthy Birthweight","Raw",89.8648648648649
"Moray","2018/19","Healthy Birthweight","Raw",89.321608040201
"North Ayrshire","2018/19","Healthy Birthweight","Raw",90.9943714821764
"Orkney Islands","2018/19","Healthy Birthweight","Raw",85.632183908046
"Scottish Borders","2018/19","Healthy Birthweight","Raw",90.4653802497162
"Shetland Islands","2018/19","Healthy Birthweight","Raw",89.3401015228426
"South Ayrshire","2018/19","Healthy Birthweight","Raw",91.5789473684211
"South Lanarkshire","2018/19","Healthy Birthweight","Raw",89.2235609103079
"Stirling","2018/19","Healthy Birthweight","Raw",90.7608695652174
"Aberdeen City","2018/19","Healthy Birthweight","Raw",90.4432696217975
"Aberdeenshire","2018/19","Healthy Birthweight","Raw",89.8218829516539
"Argyll and Bute","2018/19","Healthy Birthweight","Raw",90.8026755852843
"Edinburgh, City of","2018/19","Healthy Birthweight","Raw",90.5801755512738
"Renfrewshire","2018/19","Healthy Birthweight","Raw",90.4176904176904
"West Dunbartonshire","2018/19","Healthy Birthweight","Raw",90.2923976608187
"West Lothian","2018/19","Healthy Birthweight","Raw",88.0829015544041
