"CPP","Year","Indicator","Type","value"
"Midlothian",2018,"Out of Work Benefits","Raw",10.3192239858907
"Midlothian",2019,"Out of Work Benefits","Raw",10.4816112084063
"Midlothian",2020,"Out of Work Benefits","Raw",14.6486956521739
"Moray",2013,"Out of Work Benefits","Raw",8.15177065767285
"Moray",2014,"Out of Work Benefits","Raw",7.625
"Moray",2015,"Out of Work Benefits","Raw",7.50671140939597
"Moray",2016,"Out of Work Benefits","Raw",7.90635451505017
"Moray",2017,"Out of Work Benefits","Raw",8.15488215488216
"Moray",2018,"Out of Work Benefits","Raw",7.95755517826825
"Moray",2019,"Out of Work Benefits","Raw",8.66271186440678
"Moray",2020,"Out of Work Benefits","Raw",11.9965870307167
"North Ayrshire",2013,"Out of Work Benefits","Raw",17.3805620608899
"North Ayrshire",2014,"Out of Work Benefits","Raw",16.1879432624113
"North Ayrshire",2015,"Out of Work Benefits","Raw",15.7288941736029
"North Ayrshire",2016,"Out of Work Benefits","Raw",15.7269461077844
"North Ayrshire",2017,"Out of Work Benefits","Raw",15.5769230769231
"North Ayrshire",2018,"Out of Work Benefits","Raw",16.0351941747573
"North Ayrshire",2019,"Out of Work Benefits","Raw",17.5410036719706
"North Ayrshire",2020,"Out of Work Benefits","Raw",22.3341553637485
"North Lanarkshire",2013,"Out of Work Benefits","Raw",15.7893781207444
"North Lanarkshire",2014,"Out of Work Benefits","Raw",14.9399180700956
"North Lanarkshire",2015,"Out of Work Benefits","Raw",14.000455996352
"North Lanarkshire",2016,"Out of Work Benefits","Raw",13.66029143898
"North Lanarkshire",2017,"Out of Work Benefits","Raw",13.4688211197087
"North Lanarkshire",2018,"Out of Work Benefits","Raw",12.978102189781
"North Lanarkshire",2019,"Out of Work Benefits","Raw",14.383773928897
"North Lanarkshire",2020,"Out of Work Benefits","Raw",18.8644454586947
"Orkney Islands",2013,"Out of Work Benefits","Raw",6.62222222222222
"Orkney Islands",2014,"Out of Work Benefits","Raw",6.24626865671642
"Orkney Islands",2015,"Out of Work Benefits","Raw",6.15671641791045
"Orkney Islands",2016,"Out of Work Benefits","Raw",6.61194029850746
