"AreaLabel","CPP","Most_Deprived_Comm","Positive Destinations_2012/13_CPPScore","Child Poverty_2014/15","Child Poverty_2019/20","Child Poverty_2019/20_Change","Crime Rate_2008/09","Crime Rate_2019/20","Crime Rate_2019/20_Change","Depopulation_2008/09","Depopulation_2019/20","Depopulation_2019/20_Change","Early Mortality_2010/11","Early Mortality_2019/20","Early Mortality_2019/20_Change","Emergency Admissions_2008/09","Emergency Admissions_2019/20","Emergency Admissions_2019/20_Change","Out of Work Benefits_2012/13","Out of Work Benefits_2019/20","Out of Work Benefits_2019/20_Change","Positive Destinations_2008/09","Positive Destinations_2012/13","Positive Destinations_2012/13_Change","Attainment_2013/14","Attainment_2019/20","Attainment_2019/20_Change","InterZone_Name"
"South Ayrshire","South Ayrshire","4","Slower",29.47,36.85,"Faster",857,742,"Slower",94.15,94.64,"Slower",742,714,"Slower",39959,42086,"Faster",25.01,35.22,"Slower",71.4,88.9,"Faster",4.89,4.57,"Slower","Dalmilling"
"South Lanarkshire","South Lanarkshire","4","Faster",25.85,28.44,"Faster",673,410,"Faster",103.06,109.87,"Slower",677,556,"Faster",33803,34046,"Faster",21.62,26.29,"Faster",71,92.6,"Faster",5.03,5.27,"Faster","Spittal"
"Stirling","Stirling","4","Slower",18.33,23.95,"Slower",777,533,"Slower",95.52,90.82,"Slower",569,598,"Slower",26185,28295,"Slower",14.99,19.08,"Faster",74.09,79.33,"Faster",5.15,4.98,"Slower","Plean and Rural SE"
"West Dunbartonshire","West Dunbartonshire","4","Faster",23.15,29.72,"Faster",1128,704,"Slower",104.94,111.41,"Slower",661,621,"Slower",29692,30294,"Faster",24.44,30.16,"Faster",85.2,88.4,"Slower",4.98,5.17,"Faster","Drumry"
"West Lothian","West Lothian","4","Slower",16.38,23.52,"Slower",1484,1153,"Slower",100.02,98.04,"Slower",553,483,"Slower",24308,30982,"Slower",12.91,17.73,"Slower",82.07,82.59,"Slower",5.21,5.43,"Faster","Howden"
"Aberdeen City","Aberdeen City","5th Most Vulnerable","Faster",15.12,23.61,"Slower",1390,567,"Faster",101.95,102.56,"Slower",567,588,"Slower",25848,27417,"Slower",14.23,19.27,"Faster",66.3,86.4,"Faster",4.41,4.86,"Faster","Northfield"
"Aberdeenshire","Aberdeenshire","5th Most Vulnerable","Faster",15.34,19.33,"Faster",759,443,"Faster",99.95,98.34,"Slower",547,474,"Faster",23488,25432,"Slower",13.2,18.46,"Faster",84.44,91.39,"Faster",4.91,5.28,"Faster","Banff"
"Angus","Angus","5th Most Vulnerable","Slower",19.29,27.31,"Slower",1172,472,"Faster",92.61,92.17,"Slower",498,545,"Slower",25248,25609,"Slower",13.73,22.02,"Slower",86.7,94.3,"Faster",5.25,5.23,"Faster","Montrose South"
"Argyll and Bute","Argyll and Bute","5th Most Vulnerable","Slower",14.42,21.52,"Slower",559,240,"Faster",94.58,99.67,"Faster",478,505,"Slower",27457,24890,"Faster",15.14,20.89,"Faster",89.2,91.2,"Slower",5.33,5.36,"Faster","Hunter's Quay"
"Clackmannanshire","Clackmannanshire","5th Most Vulnerable","Slower",16.37,21.73,"Slower",713,371,"Slower",83.94,85.46,"Slower",511,446,"Faster",26117,29242,"Faster",13.11,18.24,"Slower",85.7,83.7,"Slower",5.19,5.07,"Slower","Tullibody South"
"Dumfries and Galloway","Dumfries and Galloway","5th Most Vulnerable","Faster",18.2,25.83,"Slower",665,412,"Faster",99.57,106.03,"Slower",480,503,"Slower",21152,29818,"Slower",17.29,21.95,"Faster",76.8,95.8,"Faster",5.49,5.37,"Slower","Upper Nithsdale"
"Dundee City","Dundee City","5th Most Vulnerable","Slower",20.48,27.4,"Slower",1291,672,"Faster",103.5,107.31,"Slower",772,659,"Faster",23708,27823,"Slower",24.3,30.41,"Slower",72.13,75.29,"Slower",4.83,4.58,"Slower","Whitfield"
"East Ayrshire","East Ayrshire","5th Most Vulnerable","Faster",28.05,35.33,"Faster",1079,514,"Faster",93.57,90.61,"Faster",888,788,"Faster",30052,35457,"Slower",22.31,30.27,"Faster",80.54,84.95,"Slower",5.07,5.01,"Slower","Altonhill North and Onthank"
